,A,,B,,C,,D
382.0220939,268.4424025,382.0220939,300.7177498,382.0220939,1432.49094,382.0220939,1473.661586
382.3869283,261.7745727,382.3869283,303.3382707,382.3869283,1427.7859,382.3869283,1471.784359
382.751729,248.4141385,382.751729,282.3604015,382.751729,1380.5522,382.751729,1430.219474
383.116496,235.2900203,383.116496,269.4758067,383.116496,1331.17171,383.116496,1385.569534
383.4812293,227.434226,383.4812293,264.7195473,383.4812293,1276.2579,383.4812293,1330.211974
383.8459287,204.0613998,383.8459287,237.0641709,383.8459287,1201.57339,383.8459287,1243.527295
384.2105944,200.7354504,384.2105944,225.8797111,384.2105944,1140.24757,384.2105944,1179.629872
384.5752263,190.96698,384.5752263,213.7314116,384.5752263,1051.66642,384.5752263,1105.491471
384.9398243,175.486512,384.9398243,216.1278172,384.9398243,977.01659,384.9398243,1024.735108
385.3043885,172.3961955,385.3043885,213.51734,385.3043885,903.00387,385.3043885,952.176792
385.6689189,143.5338928,385.6689189,200.1540781,385.6689189,817.9267,385.6689189,864.5304564
386.0334154,134.9484654,386.0334154,196.1009886,386.0334154,735.46037,386.0334154,784.2324687
386.397878,136.3815489,386.397878,185.6181727,386.397878,674.53391,386.397878,712.4291443
386.7623067,130.1808571,386.7623067,186.0939244,386.7623067,625.65937,386.7623067,652.6600593
387.1267014,125.8964185,387.1267014,178.4784237,387.1267014,584.63562,387.1267014,607.3763999
387.4910623,131.3862211,387.4910623,166.8035254,387.4910623,545.47491,387.4910623,569.4123309
387.8553891,140.4560887,387.8553891,178.2559176,387.8553891,514.8599,387.8553891,548.5439659
388.219682,135.9224858,388.219682,178.9679821,388.219682,477.0687,388.219682,523.3562598
388.5839409,131.3904575,388.5839409,183.2578675,388.5839409,458.76424,388.5839409,501.2581922
388.9481658,123.0325992,388.9481658,159.6432594,388.9481658,437.09517,388.9481658,472.4653056
389.3123566,120.4028057,389.3123566,160.1117649,389.3123566,426.13663,389.3123566,453.1898828
389.6765134,144.5091046,389.6765134,170.6259256,389.6765134,429.05217,389.6765134,456.3461947
390.0406362,139.2547007,390.0406362,152.9736272,390.0406362,426.41268,390.0406362,437.540085
390.4047248,135.675252,390.4047248,149.6328869,390.4047248,419.03416,390.4047248,421.3644888
390.7687794,146.4211955,390.7687794,151.5561469,390.7687794,424.30874,390.7687794,429.0171251
391.1327998,160.7312225,391.1327998,150.1279882,391.1327998,422.17568,391.1327998,437.5847083
391.4967861,154.9969605,391.4967861,151.7859552,391.4967861,409.77878,391.4967861,426.139763
391.8607383,165.2664008,391.8607383,158.9555778,391.8607383,414.57752,391.8607383,428.3235356
392.2246563,164.5470118,392.2246563,161.097629,392.2246563,415.9944,392.2246563,416.8981431
392.5885401,169.073354,392.5885401,152.7484343,392.5885401,410.51522,392.5885401,405.7108332
392.9523897,167.8771107,392.9523897,149.6447474,392.9523897,403.37009,392.9523897,409.0306793
393.3162051,168.5894271,393.3162051,139.1496237,393.3162051,395.27623,393.3162051,406.1697198
393.6799863,148.0640803,393.6799863,129.8307792,393.6799863,381.66607,393.6799863,405.4019999
394.0437332,152.8411658,394.0437332,138.9001284,394.0437332,385.73124,394.0437332,420.1684082
394.4074458,149.9744321,394.4074458,136.510415,394.4074458,389.76067,394.4074458,426.0973501
394.7711242,139.4755572,394.7711242,136.0260899,394.7711242,384.26945,394.7711242,422.983816
395.1347682,137.5738203,395.1347682,138.8932503,395.1347682,387.6153,395.1347682,418.4835799
395.4983779,139.9721851,395.4983779,142.9609677,395.4983779,405.25411,395.4983779,424.4690627
395.8619533,126.8400237,395.8619533,138.1748212,395.8619533,399.97403,395.8619533,426.5583906
396.2254943,120.159549,396.2254943,125.77172,396.2254943,408.28734,396.2254943,439.6233503
396.589001,127.324225,396.589001,135.3211321,396.589001,431.1472,396.589001,470.0841173
396.9524732,125.6597923,396.9524732,136.7573416,396.9524732,441.86279,396.9524732,488.8767777
397.3159111,121.6115513,397.3159111,145.8264566,397.3159111,460.1905,397.3159111,501.7334155
397.6793145,130.9157343,397.6793145,144.3981769,397.6793145,481.82782,397.6793145,509.3453017
398.0426835,126.3837547,398.0426835,146.3055559,398.0426835,493.23374,398.0426835,521.9359187
398.406018,125.9079763,398.406018,150.5993202,398.406018,501.79307,398.406018,540.7072319
398.769318,123.7600683,398.769318,148.2132555,398.769318,516.9944,398.769318,556.6148704
399.1325836,117.7895693,399.1325836,147.4887375,399.1325836,537.62927,399.1325836,568.2168916
399.4958146,120.6430926,399.4958146,150.1008496,399.4958146,558.96458,399.4958146,585.5082377
399.8590111,124.2217,399.8590111,156.3012197,399.8590111,578.91414,399.8590111,606.4022786
400.2221731,139.4886766,400.2221731,166.3197254,400.2221731,609.08094,400.2221731,622.3239903
400.5853005,132.5648691,400.5853005,165.5943081,400.5853005,635.85953,400.5853005,648.149428
400.9483933,142.3329025,400.9483933,173.2119739,400.9483933,678.52069,400.9483933,686.7735502
401.3114515,150.4364069,401.3114515,180.1207542,401.3114515,728.30042,401.3114515,740.5785774
401.6744751,157.1164474,401.6744751,194.9022481,401.6744751,794.9131,401.6744751,808.1313525
402.0374641,171.8956429,402.0374641,205.8634414,402.0374641,868.56374,402.0374641,891.477406
402.4004184,185.724815,402.4004184,215.6385361,402.4004184,951.65285,402.4004184,978.0969799
402.7633381,212.6675261,402.7633381,245.1954119,402.7633381,1057.41469,402.7633381,1096.357208
403.126223,224.8262894,403.126223,258.7802555,403.126223,1162.80824,403.126223,1216.348016
403.4890733,232.6902338,403.4890733,269.9759153,403.4890733,1281.28751,403.4890733,1356.222743
403.8518889,244.8355854,403.8518889,282.5922859,403.8518889,1414.45388,403.8518889,1500.835384
404.2146697,259.1334008,404.2146697,309.5034443,404.2146697,1560.46115,404.2146697,1665.072195
404.5774157,282.9665187,404.5774157,333.3276145,404.5774157,1727.73423,404.5774157,1839.477977
404.940127,297.7445138,404.940127,359.7614801,404.940127,1891.00627,404.940127,2005.179151
405.3028035,310.6010103,405.3028035,379.9854842,405.3028035,2049.05106,405.3028035,2164.712372
405.6654452,335.5914824,405.6654452,401.1518868,405.6654452,2186.50134,405.6654452,2308.812157
406.0280521,352.2677238,406.0280521,420.6741427,406.0280521,2311.99395,406.0280521,2442.827827
406.3906241,361.5435664,406.3906241,440.6431792,406.3906241,2428.59323,406.3906241,2567.237328
406.7531613,356.7562854,406.7531613,440.6089278,406.7531613,2527.20041,406.7531613,2658.032611
407.1156636,364.1157931,407.1156636,458.1804069,407.1156636,2617.3944,407.1156636,2750.458549
407.478131,362.9243729,407.478131,460.7929099,407.478131,2690.83263,407.478131,2827.545206
407.8405635,371.2633521,407.8405635,466.9876026,407.8405635,2749.17117,407.8405635,2883.031567
408.202961,373.1812405,408.202961,463.2024269,408.202961,2777.92138,408.202961,2922.925576
408.5653237,365.8080572,408.5653237,475.0906671,408.5653237,2778.40492,408.5653237,2926.434386
408.9276513,367.0049262,408.9276513,475.3375652,408.9276513,2770.298,408.9276513,2912.986637
409.289944,357.7194661,409.289944,475.5683375,409.289944,2733.44756,409.289944,2879.201799
409.6522017,349.3998487,409.6522017,462.0318023,409.6522017,2689.92415,409.6522017,2847.140698
410.0144244,334.3833862,410.0144244,457.4850291,410.0144244,2643.13832,410.0144244,2786.429168
