,A,,B,,C,,D
394.4074458,247.1656628,394.4074458,908.23022,394.4074458,261.0437096,394.4074458,920.1578104
394.7711242,252.8803932,394.7711242,902.54359,394.7711242,268.424568,394.7711242,920.3879725
395.1347682,255.744828,395.1347682,901.61805,395.1347682,265.0969848,395.1347682,910.2332198
395.4983779,259.7855395,395.4983779,886.91514,395.4983779,256.5146939,395.4983779,903.1052592
395.8619533,259.0684994,395.8619533,892.35106,395.8619533,256.750344,395.8619533,901.2033317
396.2254943,258.1044364,396.2254943,874.08646,396.2254943,250.3084951,396.2254943,887.2006333
396.589001,262.8796928,396.589001,886.19873,396.589001,252.2256405,396.589001,881.5590045
396.9524732,270.5129789,396.9524732,901.8611,396.9524732,260.8119498,396.9524732,891.3041643
397.3159111,278.3899921,397.3159111,910.20275,397.3159111,257.0181953,397.3159111,903.4332951
397.6793145,278.392043,397.6793145,913.75944,397.6793145,263.9275803,397.6793145,906.0433793
398.0426835,286.7472235,398.0426835,918.31893,398.0426835,268.4720567,398.0426835,914.3898698
398.406018,287.2333889,398.406018,909.35448,398.406018,271.1014123,398.406018,924.1243475
398.769318,289.3852469,398.769318,926.6593,398.769318,272.0621958,398.769318,923.6770809
399.1325836,281.9870285,399.1325836,922.58787,399.1325836,263.9490043,399.1325836,921.9725025
399.4958146,271.966568,399.4958146,930.10445,399.4958146,267.9811837,399.4958146,931.6189898
399.8590111,282.4397499,399.8590111,920.14746,399.8590111,264.403291,399.8590111,940.5934438
400.2221731,290.0704795,400.2221731,938.40225,400.2221731,276.321716,400.2221731,959.3186085
400.5853005,290.7827136,400.5853005,943.60141,400.5853005,281.082712,400.5853005,976.10814
400.9483933,301.740928,400.9483933,957.34024,400.9483933,280.1349412,400.9483933,977.3069101
401.3114515,296.7305034,401.3114515,958.01855,401.3114515,284.4118102,401.3114515,984.3708971
401.6744751,296.7166787,401.6744751,954.66377,401.6744751,289.1608934,401.6744751,984.5636332
402.0374641,301.2425651,402.0374641,967.2087,402.0374641,296.7823529,402.0374641,1000.889076
402.4004184,306.9616878,402.4004184,978.57885,402.4004184,297.0255454,402.4004184,1012.492661
402.7633381,320.7776926,402.7633381,985.46353,402.7633381,303.2240877,402.7633381,1021.504047
403.126223,323.8738513,403.126223,988.54295,403.126223,303.4636654,403.126223,1029.784182
403.4890733,324.3690019,403.4890733,995.45775,403.4890733,299.6717935,403.4890733,1034.57066
403.8518889,316.7641879,403.8518889,1014.18135,403.8518889,299.4461799,403.8518889,1032.720217
404.2146697,313.6659953,404.2146697,1017.00962,404.2146697,302.3006522,404.2146697,1018.523064
404.5774157,311.5285398,404.5774157,1010.87761,404.5774157,299.924636,404.5774157,1010.26272
404.940127,309.6260317,404.940127,1001.66098,404.940127,302.3080764,404.940127,1006.485797
405.3028035,303.1910976,405.3028035,999.7501,405.3028035,296.1109388,405.3028035,1013.79823
405.6654452,293.1891085,405.6654452,1008.02548,405.6654452,291.1093578,405.6654452,1003.153524
406.0280521,295.0883864,406.0280521,996.1813,406.0280521,285.1500234,406.0280521,997.6950072
406.3906241,289.3603617,406.3906241,987.38809,406.3906241,284.8992706,406.3906241,992.4496922
406.7531613,283.161107,406.7531613,969.14883,406.7531613,271.5550816,406.7531613,982.7267025
407.1156636,282.9410403,407.1156636,963.29335,407.1156636,272.7633488,407.1156636,976.8727425
407.478131,289.375289,407.478131,943.66792,407.478131,271.3382651,407.478131,972.8648439
407.8405635,279.1133339,407.8405635,920.88128,407.8405635,257.0264143,407.8405635,960.4925263
408.202961,266.2471563,408.202961,908.31993,408.202961,241.7754571,408.202961,953.1403195
408.5653237,256.9420425,408.5653237,899.98238,408.5653237,242.7134606,408.5653237,953.3210187
408.9276513,240.7228548,408.9276513,887.36143,408.9276513,226.0166967,408.9276513,936.4433711
409.289944,227.3730828,409.289944,870.04555,409.289944,227.198384,409.289944,912.034477
409.6522017,238.5678679,409.6522017,850.15377,409.6522017,217.191323,409.6522017,912.0301969
410.0144244,229.2732329,410.0144244,848.48031,410.0144244,215.5193256,410.0144244,901.1271324
